南瓜燈	南瓜燈 🎃
小馬	小馬 🐎
騎馬	騎馬 🐎
獨角	獨角 🦄
獨角獸	獨角獸 🦄
神獸	神獸 🦄
斑馬	斑馬 🦓
黑白馬	黑白馬 🦓
草原馬	草原馬 🦓
鹿	鹿 🦌
小鹿	小鹿 🦌
野牛	野牛 🦬
美洲野牛	美洲野牛 🦬
大牛	大牛 🦬 🐂
牛臉	牛臉 🐮
小牛	小牛 🐮
牛頭	牛頭 🐮
公牛	公牛 🐂
牛	牛 🐂
水牛	水牛 🐃
水中牛	水中牛 🐃
大水牛	大水牛 🐃
母牛	母牛 🐄
奶牛	奶牛 🐄
家牛	家牛 🐄
豬臉	豬臉 🐷
小豬	小豬 🐷 🐖
豬頭	豬頭 🐷
豬	豬 🐖
家豬	家豬 🐖
野豬	野豬 🐗
山豬	山豬 🐗
大豬	大豬 🐗
豬鼻	豬鼻 🐽
豬鼻子	豬鼻子 🐽
小豬鼻	小豬鼻 🐽
公羊	公羊 🐏
山羊	山羊 🐏 🐐
羊	羊 🐏 🐑 🐐
母羊	母羊 🐑
綿羊	綿羊 🐑
小山羊	小山羊 🐐
駱駝	駱駝 🐪
沙漠駝	沙漠駝 🐪 🐫
雙峰駝	雙峰駝 🐪 🐫
雙峰	雙峰 🐫
羊駝	羊駝 🦙
草泥馬	草泥馬 🦙
小羊駝	小羊駝 🦙
長頸	長頸 🦒
長頸鹿	長頸鹿 🦒
高頸鹿	高頸鹿 🦒
象	象 🐘
大象	大象 🐘
長鼻象	長鼻象 🐘
長毛象	長毛象 🦣
史前象	史前象 🦣
巨象	巨象 🦣
犀牛	犀牛 🦏
大犀牛	大犀牛 🦏
角牛	角牛 🦏
河馬	河馬 🦛
水馬	水馬 🦛
大河馬	大河馬 🦛
鼠臉	鼠臉 🐭
小鼠	小鼠 🐭 🐁
鼠頭	鼠頭 🐭
老鼠	老鼠 🐁 🐀
家鼠	家鼠 🐁
大鼠	大鼠 🐀
黑鼠	黑鼠 🐀
倉鼠	倉鼠 🐹
小倉鼠	小倉鼠 🐹
寵物鼠	寵物鼠 🐹
兔臉	兔臉 🐰
小兔	小兔 🐰 🐇
兔頭	兔頭 🐰
兔	兔 🐇
家兔	家兔 🐇
花栗鼠	花栗鼠 🐿️
小松鼠	小松鼠 🐿️
松鼠	松鼠 🐿️
河狸	河狸 🦫
水狸	水狸 🦫
建築狸	建築狸 🦫
刺蝟	刺蝟 🦔
小刺蝟	小刺蝟 🦔
針鼠	針鼠 🦔
蝙蝠	蝙蝠 🦇
夜行蝠	夜行蝠 🦇
飛鼠	飛鼠 🦇
熊	熊 🐻
大熊	大熊 🐻
森林熊	森林熊 🐻
北極熊	北極熊 🐻‍❄️
白熊	白熊 🐻‍❄️
冰熊	冰熊 🐻‍❄️
無尾熊	無尾熊 🐨
樹袋熊	樹袋熊 🐨
小熊	小熊 🐨
熊貓	熊貓 🐼
大熊貓	大熊貓 🐼
國寶	國寶 🐼
樹懶	樹懶 🦥
懶猴	懶猴 🦥
慢動物	慢動物 🦥
水獺	水獺 🦦
海獺	海獺 🦦
小獺	小獺 🦦
臭鼬	臭鼬 🦨
臭貓	臭貓 🦨
臭動物	臭動物 🦨
袋鼠	袋鼠 🦘
跳跳鼠	跳跳鼠 🦘
澳洲鼠	澳洲鼠 🦘
獾	獾 🦡
小獾	小獾 🦡
挖洞獸	挖洞獸 🦡
爪印	爪印 🐾
足跡	足跡 🐾
動物腳印	動物腳印 🐾
火雞	火雞 🦃
大火雞	大火雞 🦃
家禽	家禽 🦃 🐔 🐓
雞	雞 🐔
小雞	小雞 🐔 🐣 🐤
公雞	公雞 🐓
雄雞	雄雞 🐓
雛雞	雛雞 🐣 🐤
雞蛋	雞蛋 🐣 🥚
黃雞	黃雞 🐤
小雞臉	小雞臉 🐥
雛雞臉	雛雞臉 🐥
黃雞臉	黃雞臉 🐥
鳥	鳥 🐦
小鳥	小鳥 🐦
飛鳥	飛鳥 🐦
企鵝	企鵝 🐧
南極鳥	南極鳥 🐧
小企鵝	小企鵝 🐧
鴿	鴿 🕊️
白鴿	白鴿 🕊️
和平鴿	和平鴿 🕊️
鷹	鷹 🦅
大鷹	大鷹 🦅
猛禽	猛禽 🦅
鴨	鴨 🦆
小鴨	小鴨 🦆
家鴨	家鴨 🦆
天鵝	天鵝 🦢
白天鵝	白天鵝 🦢
大天鵝	大天鵝 🦢
貓頭鷹	貓頭鷹 🦉
夜鷹	夜鷹 🦉
智慧鳥	智慧鳥 🦉
渡渡鳥	渡渡鳥 🦤
滅絕鳥	滅絕鳥 🦤
大鳥	大鳥 🦤
羽毛	羽毛 🪶
鳥毛	鳥毛 🪶
飛毛	飛毛 🪶
火烈鳥	火烈鳥 🦩
紅鳥	紅鳥 🦩
長腿鳥	長腿鳥 🦩
孔雀	孔雀 🦚
開屏鳥	開屏鳥 🦚
美麗鳥	美麗鳥 🦚
鸚鵡	鸚鵡 🦜
說話鳥	說話鳥 🦜
彩色鳥	彩色鳥 🦜
翅膀	翅膀 🪽
飛翼	飛翼 🪽
鳥翼	鳥翼 🪽
黑鳥	黑鳥 🐦‍⬛
烏鴉	烏鴉 🐦‍⬛
黑色鳥	黑色鳥 🐦‍⬛
鵝	鵝 🪿
大鵝	大鵝 🪿
家鵝	家鵝 🪿
鳳凰	鳳凰 🐦‍🔥
火鳥	火鳥 🐦‍🔥
神鳥	神鳥 🐦‍🔥
青蛙	青蛙 🐸
小蛙	小蛙 🐸
水蛙	水蛙 🐸
鱷魚	鱷魚 🐊
大鱷	大鱷 🐊
水鱷	水鱷 🐊
龜	龜 🐢
海龜	海龜 🐢
陸龜	陸龜 🐢
蜥蜴	蜥蜴 🦎
小蜥	小蜥 🦎
陸蜥	陸蜥 🦎
蛇	蛇 🐍
大蛇	大蛇 🐍
陸蛇	陸蛇 🐍
龍臉	龍臉 🐲
神龍臉	神龍臉 🐲
大龍臉	大龍臉 🐲
龍	龍 🐉
神龍	神龍 🐉
大龍	大龍 🐉 🦕
長頸龍	長頸龍 🦕
草食龍	草食龍 🦕
暴龍	暴龍 🦖
大暴龍	大暴龍 🦖
肉食龍	肉食龍 🦖
噴水鯨	噴水鯨 🐳
大鯨	大鯨 🐳 🐋
海鯨	海鯨 🐳 🐋
鯨	鯨 🐋
海豚	海豚 🐬
小豚	小豚 🐬
水豚	水豚 🐬 🐡
海豹	海豹 🦭
小豹	小豹 🦭
水豹	水豹 🦭
魚	魚 🐟
小魚	小魚 🐟
水魚	水魚 🐟
熱帶魚	熱帶魚 🐠
彩色魚	彩色魚 🐠
小熱魚	小熱魚 🐠
河豚	河豚 🐡
大豚	大豚 🐡
鯊魚	鯊魚 🦈
大鯊	大鯊 🦈
海鯊	海鯊 🦈
章魚	章魚 🐙
大章	大章 🐙
水章	水章 🐙
貝殼	貝殼 🐚
海貝	海貝 🐚
小貝	小貝 🐚
珊瑚	珊瑚 🪸
海珊	海珊 🪸
小珊	小珊 🪸
水母	水母 🪼
海母	海母 🪼
小母	小母 🪼
螃蟹	螃蟹 🦀
大蟹	大蟹 🦀
海蟹	海蟹 🦀
龍蝦	龍蝦 🦞
大蝦	大蝦 🦞
海蝦	海蝦 🦞
蝦	蝦 🦐
小蝦	小蝦 🦐
水蝦	水蝦 🦐
魷魚	魷魚 🦑
大魷	大魷 🦑
海魷	海魷 🦑
牡蠣	牡蠣 🦪
海蠣	海蠣 🦪
小蠣	小蠣 🦪
蝸牛	蝸牛 🐌
小蝸	小蝸 🐌
陸蝸	陸蝸 🐌
蝴蝶	蝴蝶 🦋
小蝶	小蝶 🦋
彩蝶	彩蝶 🦋
小蟲	小蟲 🐛 🐌 🦋 🐜 🐝 🪲 🐞 🦗 🪳 🕷️ 🕸️ 🦂 🦟 🪰 🪱 🦠
陸蟲	陸蟲 🐛
昆蟲	昆蟲 🐛 🐌 🦋 🐜 🐝 🪲 🐞 🦗 🪳 🕷️ 🕸️ 🦂 🦟 🪰 🪱 🦠
螞蟻	螞蟻 🐜
小蟻	小蟻 🐜
陸蟻	陸蟻 🐜
蜜蜂	蜜蜂 🐝
小蜂	小蜂 🐝
陸蜂	陸蜂 🐝
甲蟲	甲蟲 🪲
小甲	小甲 🪲
陸甲	陸甲 🪲
瓢蟲	瓢蟲 🐞
小瓢	小瓢 🐞
陸瓢	陸瓢 🐞
蟋蟀	蟋蟀 🦗
小蟋	小蟋 🦗
陸蟋	陸蟋 🦗
蟑螂	蟑螂 🪳
小蟑	小蟑 🪳
陸蟑	陸蟑 🪳
蜘蛛	蜘蛛 🕷️
小蛛	小蛛 🕷️
陸蛛	陸蛛 🕷️
蜘蛛網	蜘蛛網 🕸️
小蛛網	小蛛網 🕸️
陸蛛網	陸蛛網 🕸️
蠍子	蠍子 🦂
小蠍	小蠍 🦂
陸蠍	陸蠍 🦂
蚊子	蚊子 🦟
小蚊	小蚊 🦟
陸蚊	陸蚊 🦟
蒼蠅	蒼蠅 🪰
小蠅	小蠅 🪰
陸蠅	陸蠅 🪰
蠕蟲	蠕蟲 🪱
小蠕	小蠕 🪱
陸蠕	陸蠕 🪱
微生物	微生物 🦠
小微	小微 🦠
陸微	陸微 🦠
花束	花束 💐
大花束	大花束 💐
小花束	小花束 💐
櫻花	櫻花 🌸
小櫻	小櫻 🌸
大櫻	大櫻 🌸
白花	白花 💮
小白	小白 💮
大白	大白 💮
蓮花	蓮花 🪷
小蓮	小蓮 🪷
大蓮	大蓮 🪷
玫瑰花	玫瑰花 🏵️
小玫	小玫 🏵️ 🌹
大玫	大玫 🏵️ 🌹
玫瑰	玫瑰 🌹
枯花	枯花 🥀
小枯	小枯 🥀 🪾
大枯	大枯 🥀 🪾
木槿	木槿 🌺
小木	小木 🌺
大木	大木 🌺
向日葵	向日葵 🌻
小向	小向 🌻
大向	大向 🌻
花朵	花朵 🌼
小花	小花 🌼
大花	大花 🌼
鬱金香	鬱金香 🌷
小鬱	小鬱 🌷
大鬱	大鬱 🌷
風信子	風信子 🪻
小風	小風 🪻
大風	大風 🪻
幼苗	幼苗 🌱
小苗	小苗 🌱
大苗	大苗 🌱
盆栽	盆栽 🪴
小盆	小盆 🪴
大盆	大盆 🪴
常青樹	常青樹 🌲
小青	小青 🌲
大青	大青 🌲
落葉樹	落葉樹 🌳
小落	小落 🌳 🍂
大落	大落 🌳 🍂
棕櫚樹	棕櫚樹 🌴
小棕	小棕 🌴
大棕	大棕 🌴
仙人掌	仙人掌 🌵
小仙	小仙 🌵
大仙	大仙 🌵
稻穗	稻穗 🌾
小稻	小稻 🌾
大稻	大稻 🌾
草本	草本 🌿
小草	小草 🌿
大草	大草 🌿
三葉草	三葉草 ☘️
小三	小三 ☘️
大三	大三 ☘️
四葉草	四葉草 🍀
小四	小四 🍀
大四	大四 🍀
楓葉	楓葉 🍁
小楓	小楓 🍁
大楓	大楓 🍁
落葉	落葉 🍂
飄葉	飄葉 🍃
小飄	小飄 🍃
大飄	大飄 🍃
空巢	空巢 🪹
小空	小空 🪹
大空	大空 🪹
巢蛋	巢蛋 🪺
小巢	小巢 🪺
大巢	大巢 🪺
蘑菇	蘑菇 🍄
小菇	小菇 🍄
大菇	大菇 🍄
枯樹	枯樹 🪾
格旗	格旗 🏁
賽旗	賽旗 🏁
終點旗	終點旗 🏁
三角旗	三角旗 🚩
紅旗	紅旗 🚩
小旗	小旗 🚩
交叉旗	交叉旗 🎌
交叉標誌	交叉標誌 🎌
黑旗	黑旗 🏴 🏴‍☠️
暗旗	暗旗 🏴
黑色旗	黑色旗 🏴
白旗	白旗 🏳️
投降旗	投降旗 🏳️
和平旗	和平旗 🏳️
彩虹旗	彩虹旗 🏳️‍🌈
同志旗	同志旗 🏳️‍🌈
多彩旗	多彩旗 🏳️‍🌈
跨性旗	跨性旗 🏳️‍⚧️
性別旗	性別旗 🏳️‍⚧️
變性旗	變性旗 🏳️‍⚧️
海盜旗	海盜旗 🏴‍☠️
骷髏旗	骷髏旗 🏴‍☠️
阿森松	阿森松 🇦🇨
阿森松島	阿森松島 🇦🇨
安道爾	安道爾 🇦🇩
安道爾國旗	安道爾國旗 🇦🇩
阿聯酋	阿聯酋 🇦🇪
阿拉伯聯合酋長國	阿拉伯聯合酋長國 🇦🇪
阿富汗	阿富汗 🇦🇫
阿富汗國旗	阿富汗國旗 🇦🇫
安巴	安巴 🇦🇬
安提瓜和巴布達	安提瓜和巴布達 🇦🇬
安圭拉	安圭拉 🇦🇮
安圭拉島	安圭拉島 🇦🇮
阿爾巴	阿爾巴 🇦🇱
阿爾巴尼亞	阿爾巴尼亞 🇦🇱
亞美尼亞	亞美尼亞 🇦🇲
亞美尼亞國旗	亞美尼亞國旗 🇦🇲
安哥拉	安哥拉 🇦🇴
安哥拉國旗	安哥拉國旗 🇦🇴
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
阿根廷	阿根廷 🇦🇷
阿根廷國旗	阿根廷國旗 🇦🇷
美屬薩摩亞	美屬薩摩亞 🇦🇸
薩摩亞	薩摩亞 🇦🇸 🇼🇸
奧地利	奧地利 🇦🇹
奧地利國旗	奧地利國旗 🇦🇹
澳大利亞	澳大利亞 🇦🇺
澳洲	澳洲 🇦🇺
澳大利亞國旗	澳大利亞國旗 🇦🇺
阿魯巴	阿魯巴 🇦🇼
阿魯巴島	阿魯巴島 🇦🇼
奧蘭	奧蘭 🇦🇽
奧蘭群島	奧蘭群島 🇦🇽
阿塞拜疆	阿塞拜疆 🇦🇿
阿塞拜疆國旗	阿塞拜疆國旗 🇦🇿
波黑	波黑 🇧🇦
波斯尼亞和黑塞哥維那	波斯尼亞和黑塞哥維那 🇧🇦
巴巴多斯	巴巴多斯 🇧🇧
巴巴多斯國旗	巴巴多斯國旗 🇧🇧
孟加拉	孟加拉 🇧🇩
孟加拉國旗	孟加拉國旗 🇧🇩
比利時	比利時 🇧🇪
比利時國旗	比利時國旗 🇧🇪
布基納法索	布基納法索 🇧🇫
布基納法索國旗	布基納法索國旗 🇧🇫
保加利亞	保加利亞 🇧🇬
保加利亞國旗	保加利亞國旗 🇧🇬
巴林	巴林 🇧🇭
巴林國旗	巴林國旗 🇧🇭
布隆迪	布隆迪 🇧🇮
布隆迪國旗	布隆迪國旗 🇧🇮
貝寧	貝寧 🇧🇯
貝寧國旗	貝寧國旗 🇧🇯
聖巴	聖巴 🇧🇱
聖巴泰勒米	聖巴泰勒米 🇧🇱
百慕大	百慕大 🇧🇲
百慕大群島	百慕大群島 🇧🇲
文萊	文萊 🇧🇳
文萊國旗	文萊國旗 🇧🇳
玻利維亞	玻利維亞 🇧🇴
玻利維亞國旗	玻利維亞國旗 🇧🇴
荷屬加勒比	荷屬加勒比 🇧🇶
荷屬加勒比群島	荷屬加勒比群島 🇧🇶
巴西	巴西 🇧🇷
巴西國旗	巴西國旗 🇧🇷
巴哈馬	巴哈馬 🇧🇸
巴哈馬群島	巴哈馬群島 🇧🇸
不丹	不丹 🇧🇹
不丹國旗	不丹國旗 🇧🇹
布韋島	布韋島 🇧🇻
布韋	布韋 🇧🇻
博茨瓦納	博茨瓦納 🇧🇼
博茨瓦納國旗	博茨瓦納國旗 🇧🇼
白俄羅斯	白俄羅斯 🇧🇾
白俄羅斯國旗	白俄羅斯國旗 🇧🇾
伯利茲	伯利茲 🇧🇿
伯利茲國旗	伯利茲國旗 🇧🇿
加拿大	加拿大 🇨🇦
加拿大國旗	加拿大國旗 🇨🇦
科科斯	科科斯 🇨🇨
科科斯群島	科科斯群島 🇨🇨
剛果金	剛果金 🇨🇩
剛果民主共和國	剛果民主共和國 🇨🇩
中非	中非 🇨🇫
中非共和國	中非共和國 🇨🇫
剛果布	剛果布 🇨🇬
剛果共和國	剛果共和國 🇨🇬
瑞士	瑞士 🇨🇭
瑞士國旗	瑞士國旗 🇨🇭
象牙海岸	象牙海岸 🇨🇮
科特迪瓦	科特迪瓦 🇨🇮
庫克群島	庫克群島 🇨🇰
庫克	庫克 🇨🇰
智利	智利 🇨🇱
智利國旗	智利國旗 🇨🇱
喀麥隆	喀麥隆 🇨🇲
喀麥隆國旗	喀麥隆國旗 🇨🇲
中國	中國 🇨🇳
中國國旗	中國國旗 🇨🇳
哥倫比亞	哥倫比亞 🇨🇴
哥倫比亞國旗	哥倫比亞國旗 🇨🇴
克利珀頓	克利珀頓 🇨🇵
克利珀頓島	克利珀頓島 🇨🇵
塞克	塞克 🇨🇶
塞克島	塞克島 🇨🇶
哥斯達黎加	哥斯達黎加 🇨🇷
哥斯達黎加國旗	哥斯達黎加國旗 🇨🇷
古巴	古巴 🇨🇺
古巴國旗	古巴國旗 🇨🇺
佛得角	佛得角 🇨🇻
佛得角群島	佛得角群島 🇨🇻
庫拉索	庫拉索 🇨🇼
庫拉索島	庫拉索島 🇨🇼
聖誕島	聖誕島 🇨🇽
塞浦路斯	塞浦路斯 🇨🇾
塞浦路斯國旗	塞浦路斯國旗 🇨🇾
捷克	捷克 🇨🇿
捷克國旗	捷克國旗 🇨🇿
德國	德國 🇩🇪
德國國旗	德國國旗 🇩🇪
迪戈加西亞	迪戈加西亞 🇩🇬
迪戈加西亞島	迪戈加西亞島 🇩🇬
吉布提	吉布提 🇩🇯
吉布提國旗	吉布提國旗 🇩🇯
丹麥	丹麥 🇩🇰
丹麥國旗	丹麥國旗 🇩🇰
多米尼克	多米尼克 🇩🇲
多米尼克國旗	多米尼克國旗 🇩🇲
多米尼加	多米尼加 🇩🇴
多米尼加共和國	多米尼加共和國 🇩🇴
阿爾及利亞	阿爾及利亞 🇩🇿
阿爾及利亞國旗	阿爾及利亞國旗 🇩🇿
塞烏塔梅利利亞	塞烏塔梅利利亞 🇪🇦
塞烏塔	塞烏塔 🇪🇦
梅利利亞	梅利利亞 🇪🇦
厄瓜多爾	厄瓜多爾 🇪🇨
厄瓜多爾國旗	厄瓜多爾國旗 🇪🇨
愛沙尼亞	愛沙尼亞 🇪🇪
愛沙尼亞國旗	愛沙尼亞國旗 🇪🇪
埃及	埃及 🇪🇬
埃及國旗	埃及國旗 🇪🇬
西撒哈拉	西撒哈拉 🇪🇭
西撒哈拉國旗	西撒哈拉國旗 🇪🇭
厄立特里亞	厄立特里亞 🇪🇷
厄立特里亞國旗	厄立特里亞國旗 🇪🇷
西班牙	西班牙 🇪🇸
西班牙國旗	西班牙國旗 🇪🇸
埃塞俄比亞	埃塞俄比亞 🇪🇹
埃塞俄比亞國旗	埃塞俄比亞國旗 🇪🇹
歐盟	歐盟 🇪🇺
歐洲聯盟	歐洲聯盟 🇪🇺
芬蘭	芬蘭 🇫🇮
芬蘭國旗	芬蘭國旗 🇫🇮
斐濟	斐濟 🇫🇯
